calories,cook,directions,ingredients,name,prep,rating,ready in,url,keyword,veg/nonveg,core
547,,"1. Whisk mayonnaise, creme fraiche, lemon juice, tarragon, sugar, salt, black pepper, and cayenne together in a bowl. 2. Place apples, celery root, grapes, and walnut pieces in a large bowl. Toss with about 1/2 cup of dressing. Add more dressing until salad components are well coated but not swimming in dressing. You might not need all the dressing. 3. Serve immediately or cover and refrigerate for up to 24 hours.","¾ cup mayonnaise, ¼ cup creme fraiche, ½ lemon, juiced, 1 tablespoon finely chopped tarragon, ½ teaspoon white sugar, ¼ teaspoon salt, 1 pinch freshly ground black pepper, 1 pinch cayenne pepper, 2 large crisp, sweet apples, cut into 1/2-inch cubes, 1 cup cubed (1/4 inch) celery root, soaked briefly in cold water, drained well, 1 cup quartered seedless green grapes, ½ cup toasted walnut pieces",Chef John's Waldorf Salad,20 mins,5.0,20 mins,https://www.allrecipes.com/recipe/245363/chef-johns-waldorf-salad/,"['mayonnaise', 'lemon', 'tarragon', 'sugar', 'salt', 'pepper', 'cayenne', 'pepper', 'apple', 'celery', 'water', 'grape', 'walnut']",veg,"['mayonnaise', 'lemon', 'tarragon', 'sugar', 'salt', 'pepper', 'cayenne', 'pepper', 'apple', 'celery', 'water', 'grape', 'walnut']"
83,,"1. Mix the watermelon, grapes, cantaloupe, strawberries, and kiwi in a bowl with a tight-fitting lid; top with the blueberries. 2. Stir the mint, sugar, and lime juice together in a bowl, crushing the mint with the back of a spoon while mixing to extract flavors; pour over the fruit mixture. Seal the bowl with lid and refrigerate at least 1 hour. 3. Just before serving, gently flip the sealed bowl several times to coat the fruit with the dressing.","1 cup cubed seeded watermelon, 1 cup seedless grapes, 1 cup cubed cantaloupe, 1 cup hulled and quartered strawberries, 1 cup peeled and quartered kiwi, 1 cup fresh blueberries, 3 sprigs fresh mint, 2 teaspoons white sugar, 3 tablespoons fresh lime juice",Mojito Fruit Salad,20 mins,4.5,1 hr 20 mins,https://www.allrecipes.com/recipe/215576/mojito-fruit-salad/,"['watermelon', 'grape', 'cantaloupe', 'strawberry', 'kiwi', 'blueberry', 'mint', 'sugar', 'lime']",veg,"['watermelon', 'grape', 'cantaloupe', 'strawberry', 'kiwi', 'blueberry', 'mint', 'sugar', 'lime']"
189,,"1. Stir boiling water and cherry gelatin together in a bowl until gelatin is completely dissolved. 2. Heat cranberry sauce in a saucepan over medium heat until melted; stir into gelatin mixture. 3. Stir apples and walnuts into the cranberry sauce mixture; add pineapple with juice and mix well. Refrigerate until set, 8 hours to overnight.","1 cup boiling water, 1 (6 ounce) package cherry-flavored gelatin (such as Jell-O®), 1 (16 ounce) can jellied cranberry sauce, 1 apple - peeled, cored, and diced, or more to taste, ¾ cup chopped walnuts, or to taste, 1 (20 ounce) can crushed pineapple with juice",A Cranberry Salad Keepsake,15 mins,5.0,8 hrs 15 mins,https://www.allrecipes.com/recipe/234412/a-cranberry-salad-keepsake/,"['water', 'cranberry', 'sauce', 'apple', 'walnut', 'pineapple']",veg,"['water', 'cranberry', 'sauce', 'apple', 'walnut', 'pineapple']"
131,,"1. Whisk olive oil, vinegar, and salt together in a large mixing bowl. Add tomatoes, arugula, and red onion; toss to coat. Gently stir in watermelon and feta cheese to serve.","3 tablespoons olive oil, 2 teaspoons white balsamic vinegar, ½ teaspoon kosher salt, 8 ounces grape tomatoes, halved, 3 cups arugula, 1 cup sliced red onion, 2 pounds watermelon, cubed, 4 ounces feta cheese, cut into 1/4-inch cubes",Watermelon Feta Salad,20 mins,4.5,20 mins,https://www.allrecipes.com/recipe/215044/watermelon-feta-salad/,"['oil', 'vinegar', 'salt', 'grape', 'tomato', 'arugula', 'onion', 'watermelon', 'feta', 'cheese']",veg,"['oil', 'vinegar', 'salt', 'grape', 'tomato', 'arugula', 'onion', 'watermelon', 'feta', 'cheese']"
137,,"1. Combine cabbage, red apple, green apple, carrot, red capsicum, and green onions in a large bowl. 2. Mix together mayonnaise, brown sugar, and lemon juice in a small bowl. Pour dressing over cabbage mixture; mix until evenly coated.","3 cups chopped cabbage, 1 unpeeled red apple, cored and chopped, 1 unpeeled Granny Smith apple, cored and chopped, 1 carrot, grated, ½ cup finely chopped red capsicum, 2 green onions, finely chopped, ⅓ cup mayonnaise, ⅓ cup brown sugar, 1 tablespoon lemon juice, or to taste",Easy Apple Coleslaw,25 mins,4.5,25 mins,https://www.allrecipes.com/recipe/34615/easy-apple-coleslaw/,"['cabbage', 'apple', 'apple', 'carrot', 'capsicum', 'onion', 'mayonnaise', 'sugar', 'lemon']",veg,"['cabbage', 'apple', 'apple', 'carrot', 'pepper', 'onion', 'mayonnaise', 'sugar', 'lemon']"
89,,"1. Stir together peach, plums, tomato, cherries, parsley, lemon zest, lemon juice, minced garlic, salt, and black pepper in a large bowl until combined. Let stand at least 5 minutes to allow flavors to blend. Drizzle with olive oil and stir to combine.","1 fresh peach, chopped, 2 plums, pitted and chopped, 1 cup chopped tomato, 1 cup pitted and halved cherries, 2 tablespoons chopped fresh parsley, 1 teaspoon lemon zest, 1 tablespoon lemon juice, 1 clove garlic, minced, ¼ teaspoon salt, ⅛ teaspoon ground black pepper, 1 tablespoon extra-virgin olive oil",Stone Fruit and Tomato Salad,10 mins,5.0,15 mins,https://www.allrecipes.com/recipe/8421738/stone-fruit-and-tomato-salad/,"['peach', 'plum', 'tomato', 'cherry', 'parsley', 'lemon', 'lemon', 'clove', 'garlic', 'salt', 'pepper', 'oil']",veg,"['peach', 'plum', 'tomato', 'cherry', 'parsley', 'lemon', 'lemon', 'clove', 'garlic', 'salt', 'pepper', 'oil']"
140,,"1. Mix strawberries and blueberries together in a bowl, sprinkle with sugar and lemon juice; toss lightly. Refrigerate until cold, at least 30 minutes. 2. About 30 minutes before serving, cut bananas into 3/4-inch thick slices; toss with berries.","1 pint strawberries, hulled and quartered, 1 pint blueberries, ½ cup white sugar, 2 tablespoons lemon juice, 4 bananas","Red, White, and Blueberry Fruit Salad",10 mins,5.0,40 mins,https://www.allrecipes.com/recipe/214674/red-white-and-blueberry-fruit-salad/,"['strawberry', 'blueberry', 'sugar', 'lemon', 'banana']",veg,"['strawberry', 'blueberry', 'sugar', 'lemon', 'banana']"
52,,"1. Julienne pineapple, honeydew, galia melon, grapes, and strawberries. 2. Combine fruit in a large bowl and squeeze lemon and lime juice on top, making sure citrus seeds don't get added. Toss gently until well blended. Chill in the refrigerator for at least 1 hour before serving.","2 cups fresh pineapple, 2 cups cubed honeydew, 2 cups Melons, cantaloupe, raw, 2 cups seedless red grapes, 2 cups fresh strawberries, ½ medium lemon, ½ medium lime",Fruit Slaw,30 mins,,1 hr 30 mins,https://www.allrecipes.com/recipe/284353/fruit-slaw/,"['pineapple', 'honeydew', 'cantaloupe', 'grape', 'strawberry', 'lemon', 'lime']",veg,"['pineapple', 'honeydew', 'cantaloupe', 'grape', 'strawberry', 'lemon', 'lime']"
314,,"1. Gently mix watermelon, tomatoes, mint, onion, and feta cheese in a large bowl. 2. Whisk olive oil, vinegar, salt, and pepper together in small bowl; drizzle over salad and gently toss to coat.","1 large seedless watermelon, cut into 1-inch cubes, 4 tomatoes, cut into 1-inch dice, 12 mint leaves, sliced thinly, 1 large sweet onion, thinly sliced, 1 cup crumbled feta cheese, ¼ cup olive oil, 2 tablespoons white balsamic vinegar, 1 pinch coarse salt, or to taste, 1 pinch ground black pepper, or to taste",Tomato Watermelon Salad,15 mins,4.5,15 mins,https://www.allrecipes.com/recipe/228277/tomato-watermelon-salad/,"['watermelon', 'tomato', 'mint', 'onion', 'feta', 'cheese', 'oil', 'vinegar', 'salt', 'pepper']",veg,"['watermelon', 'tomato', 'mint', 'onion', 'feta', 'cheese', 'oil', 'vinegar', 'salt', 'pepper']"
94,,"1. In a small bowl, pour lime juice over red onions. Allow to marinate while assembling the salad. 2. Gently combine the watermelon, cucumber, feta cheese, and cilantro in a large bowl. Season with black pepper. Toss watermelon salad with marinated onions and season with sea salt just before serving.","3 tablespoons lime juice, 1 cup sliced red onion, cut lengthwise, 15 cups cubed watermelon, 3 cups cubed English cucumber, 1 (8 ounce) package feta cheese, crumbled, ½ cup chopped fresh cilantro, cracked black pepper, sea salt",Refreshing Watermelon Salad,20 mins,4.5,20 mins,https://www.allrecipes.com/recipe/111853/refreshing-watermelon-salad/,"['lime', 'onion', 'watermelon', 'cucumber', 'feta', 'cheese', 'cilantro', 'pepper', 'salt']",veg,"['lime', 'onion', 'watermelon', 'cucumber', 'feta', 'cheese', 'cilantro', 'pepper', 'salt']"
177,,"1. Gently toss watermelon, onion, basil, cilantro, mint, lime juice, feta cheese, olive oil, balsamic vinegar, salt, and black pepper together in a large bowl.","½ large chilled seedless watermelon, cut into 1-inch cubes, 1 small red onion, sliced, 1 cup thinly sliced fresh basil leaves, 1 cup chopped fresh cilantro, ½ cup minced fresh mint leaves, 2 limes, juiced, 1 (4 ounce) package crumbled feta cheese, 3 tablespoons olive oil, 2 tablespoons balsamic vinegar, or more to taste, salt and ground black pepper to taste",Herb Watermelon Feta Salad,20 mins,4.5,20 mins,https://www.allrecipes.com/recipe/222512/herb-watermelon-feta-salad/,"['watermelon', 'onion', 'basil', 'cilantro', 'mint', 'lime', 'feta', 'cheese', 'oil', 'vinegar', 'salt', 'pepper']",veg,"['watermelon', 'onion', 'basil', 'cilantro', 'mint', 'lime', 'feta', 'cheese', 'oil', 'vinegar', 'salt', 'pepper']"
142,,"1. In a large bowl, combine the strawberries, grapes, kiwis, and bananas. Gently mix in peaches. Chill for 1 hour before serving.","1 pint strawberries - cleaned, hulled and sliced, 1 pound seedless grapes, halved, 3 kiwis, peeled and sliced, 3 bananas, sliced, 1 (21 ounce) can peach pie filling",Very Easy Fruit Salad,10 mins,4.5,1 hr 10 mins,https://www.allrecipes.com/recipe/14147/very-easy-fruit-salad/,"['strawberry', 'grape', 'kiwi', 'banana', 'peach']",veg,"['strawberry', 'grape', 'kiwi', 'banana', 'peach']"
2,,"1. Stack basil leaves on top of each other and roll tightly into a log. Slice lengthwise into thin ribbons. 2. Combine basil slices and watermelon in a large bowl. Drizzle lemon juice over watermelon. 3. Mix salt and chili powder together in a small bowl; sprinkle over watermelon and toss to combine. Chill salad before serving, at least 30 minutes.","¼ cup basil leaves, 4 cups 1/2-inch cubes watermelon, 2 teaspoons lemon juice, ¼ teaspoon kosher salt, ¼ teaspoon chili powder",Watermelon Basil Salad,20 mins,4.5,50 mins,https://www.allrecipes.com/recipe/254422/watermelon-basil-salad/,"['basil', 'watermelon', 'lemon', 'salt', 'chili']",veg,"['basil', 'watermelon', 'lemon', 'salt', 'chili']"
393,,"1. Mix pineapple, oranges, sour cream, marshmallows, and coconut together in a bowl. Cover bowl with plastic wrap and refrigerate until flavors blend, 2 hours to overnight.","3 (20 ounce) cans pineapple tidbits, drained, 4 (15 ounce) cans mandarin oranges, drained, 1 (16 ounce) container sour cream, 1 (10.5 ounce) package miniature marshmallows, ¾ cup shredded coconut, or to taste",Sarah's Ambrosia Fruit Salad,15 mins,5.0,2 hrs 15 mins,https://www.allrecipes.com/recipe/233372/sarahs-ambrosia-fruit-salad/,"['pineapple', 'mandarin', 'orange', 'cream', 'marshmallow', 'coconut']",veg,"['pineapple', 'mandarin', 'orange', 'cream', 'marshmallow', 'coconut']"
426,,"1. Mix yogurt, sweetened condensed milk, and crema in a bowl. Add vanilla extract and stir until well incorporated. 2. Divide cantaloupe, papaya, apple, and banana among 4 individual bowls, arranging them in separate sections. Place strawberries in the center of each bowl. Top each bowl with 1/8 cup each granola, raisins, and coconut. 3. Drizzle 1/4 cup of the crema mixture over each fruit bowl.","⅓ cup plain yogurt, ⅓ cup sweetened condensed milk, ⅓ cup Mexican crema, 1 teaspoon vanilla extract, 1 cup diced cantaloupe, 1 cup diced papaya, 1 cup diced red apple, 1 cup sliced banana, 1 cup sliced strawberries, ½ cup granola, ½ cup raisins, ½ cup shredded coconut",Bionicos (Mexican Fruit Bowls),30 mins,5.0,30 mins,https://www.allrecipes.com/recipe/266532/bionicos-mexican-fruit-bowls/,"['yogurt', 'milk', 'vanilla', 'cantaloupe', 'papaya', 'apple', 'banana', 'strawberry', 'raisin', 'coconut']",veg,"['yogurt', 'milk', 'vanilla', 'cantaloupe', 'papaya', 'apple', 'banana', 'strawberry', 'raisin', 'coconut']"
52,,"1. Mix cumin, coriander, chili powder, salt, and cayenne pepper together in a bowl. 2. Place watermelon into serving bowls; sprinkle with spice mixture. Squeeze lime juice over spiced watermelon.","¼ teaspoon ground cumin, ¼ teaspoon ground coriander, ¼ teaspoon chili powder, ¼ teaspoon salt, ⅛ teaspoon cayenne pepper, 2 cups cubed seeded watermelon, ½ lime, juiced",Spicy Watermelon,10 mins,4.0,10 mins,https://www.allrecipes.com/recipe/233285/spicy-watermelon/,"['cumin', 'coriander', 'chili', 'salt', 'cayenne', 'pepper', 'watermelon', 'lime']",veg,"['cumin', 'coriander', 'chili', 'salt', 'cayenne', 'pepper', 'watermelon', 'lime']"
486,,"1. Beat the cream cheese and sugar together in a large bowl. On high speed, beat in the whipped topping. Fold in the bananas, pineapple, fruit cocktail, apple, and coconut. If desired, mix in the maraschino cherries, pecans, and raisins. Pour the salad into a serving bowl, and chill 1 hour before serving.","1 (8 ounce) package cream cheese, ¼ cup white sugar, or to taste, 1 (12 ounce) container frozen whipped topping, thawed, 3 bananas, peeled and sliced, 1 (15.25 ounce) can crushed pineapple, drained, 1 (15.25 ounce) can fruit cocktail, drained, 1 large Jonagold apple, peeled and chopped, ½ cup sweetened flaked coconut, 1 (4 ounce) jar maraschino cherries, drained and halved (Optional), ½ cup chopped pecans (Optional), ½ cup golden raisins (Optional)",Cream Cheese Fruit Salad,15 mins,5.0,1 hr 15 mins,https://www.allrecipes.com/recipe/137346/cream-cheese-fruit-salad/,"['cream', 'cheese', 'sugar', 'banana', 'pineapple', 'apple', 'coconut', 'maraschino', 'cherry', 'pecan', 'raisin']",veg,"['cream', 'cheese', 'sugar', 'banana', 'pineapple', 'apple', 'coconut', 'maraschino', 'cherry', 'pecan', 'raisin']"
45,,"1. Mix strawberries, blueberries, blackberries, and raspberries together in a bowl. Sprinkle with sugar.","1 cup fresh strawberries, hulled and quartered lengthwise, 1 cup fresh blueberries, 1 cup fresh blackberries, 1 cup fresh raspberries, 1 teaspoon white sugar",Berry Fruit Salad,10 mins,4.5,10 mins,https://www.allrecipes.com/recipe/215472/berry-fruit-salad/,"['strawberry', 'blueberry', 'blackberry', 'raspberry', 'sugar']",veg,"['strawberry', 'blueberry', 'blackberry', 'raspberry', 'sugar']"
245,,"1. Mix red onion and lime juice together in a bowl. Refrigerate until onion turns bright pink, about 30 minutes. 2. Add watermelon, feta cheese, olives, cilantro, parsley, and olive oil to the onion mixture; mix well. Season with salt and pepper. Add brown sugar if lime juice tastes too sharp.","1 red onion, thinly sliced, 2 limes, juiced, ½ watermelon, cut into bite-sized cubes, 1 (4 ounce) package Greek feta cheese, cubed, 20 pitted black olives, 2 tablespoons chopped fresh cilantro, 2 tablespoons chopped fresh parsley, 2 tablespoons extra-virgin olive oil, salt and ground black pepper to taste, 1 teaspoon brown sugar (Optional)",Watermelon and Feta Salad,20 mins,4.5,50 mins,https://www.allrecipes.com/recipe/272985/watermelon-and-feta-salad/,"['onion', 'lime', 'watermelon', 'feta', 'cheese', 'olive', 'cilantro', 'parsley', 'oil', 'salt', 'pepper', 'sugar']",veg,"['onion', 'lime', 'watermelon', 'feta', 'cheese', 'olive', 'cilantro', 'parsley', 'oil', 'salt', 'pepper', 'sugar']"
350,,"1. Combine watermelon, spinach, and avocados together in a bowl. 2. Whisk walnut oil, olive oil, lime juice, and paprika together in a bowl; pour over watermelon mixture. Toss to coat.","4 cups cubed watermelon, 4 cups fresh baby spinach, torn, 2 large avocados - peeled, pitted, and diced, ¼ cup walnut oil, ¼ cup olive oil, 1 lime, juiced, ½ teaspoon sweet paprika",Avocado Watermelon Salad,15 mins,4.0,15 mins,https://www.allrecipes.com/recipe/242175/avocado-watermelon-salad/,"['watermelon', 'spinach', 'avocado', 'walnut', 'oil', 'oil', 'lime', 'paprika']",veg,"['watermelon', 'spinach', 'avocado', 'walnut', 'oil', 'oil', 'lime', 'paprika']"
100,,"1. In a salad bowl, whisk together the lemon yogurt, honey, and lemon juice until smooth, and gently fold in the watermelon balls, cantaloupe balls, and strawberries. Toss to coat, and serve.","1 cup lemon yogurt, 1 tablespoon honey, 1 teaspoon lemon juice, 2 cups watermelon balls, 2 cups cantaloupe balls, 2 cups halved fresh strawberries",Strawberry-Melon Summer Salad,20 mins,5.0,20 mins,https://www.allrecipes.com/recipe/214986/strawberry-melon-summer-salad/,"['lemon', 'yogurt', 'honey', 'lemon', 'watermelon', 'cantaloupe', 'strawberry']",veg,"['lemon', 'yogurt', 'honey', 'lemon', 'watermelon', 'cantaloupe', 'strawberry']"
306,5 mins,"1. Place pecans in a skillet over medium-low heat; cook and stir until pecans are toasted and fragrant, 3 to 5 minutes. Remove from heat and pour into a heatproof bowl; stir to prevent nuts from overcooking. 2. Beat sugar, cream cheese, and vanilla extract together with an electric mixer in a bowl until smooth. Fold in pecans and grapes. Stir gently until grapes are coated.","1 cup chopped pecans, ⅓ cup white sugar, 1 (8 ounce) package cream cheese, softened, 1 teaspoon vanilla extract, 2 pounds red seedless grapes",Nanny's Grape Salad,15 mins,4.5,20 mins,https://www.allrecipes.com/recipe/229935/nannys-grape-salad/,"['pecan', 'sugar', 'cream', 'cheese', 'vanilla', 'grape']",veg,"['pecan', 'sugar', 'cream', 'cheese', 'vanilla', 'grape']"
277,,"1. In a blender or food processor, combine sugar, lemon juice, onion, mustard, and salt. Process until well blended. With machine still running, add oil in a slow, steady stream until mixture is thick and smooth. Add poppy seeds, and process just a few seconds more to mix. 2. In a large serving bowl, toss together the romaine lettuce, shredded Swiss cheese, cashews, dried cranberries, apple, and pear. Pour dressing over salad just before serving, and toss to coat.","½ cup white sugar, ½ cup lemon juice, 2 teaspoons diced onion, 1 teaspoon Dijon-style prepared mustard, ½ teaspoon salt, ⅔ cup vegetable oil, 1 tablespoon poppy seeds, 1 head romaine lettuce, torn into bite-size pieces, 4 ounces shredded Swiss cheese, 1 cup cashews, ¼ cup dried cranberries, 1 apple - peeled, cored and diced, 1 pear - peeled, cored and sliced",Winter Fruit Salad with Lemon Poppyseed Dressing,25 mins,5.0,25 mins,https://www.allrecipes.com/recipe/13482/winter-fruit-salad-with-lemon-poppyseed-dressing/,"['sugar', 'lemon', 'onion', 'mustard', 'salt', 'oil', 'cheese', 'cashew', 'cranberry', 'apple', 'pear']",veg,"['sugar', 'lemon', 'onion', 'mustard', 'salt', 'oil', 'cheese', 'cashew', 'cranberry', 'apple', 'pear']"
300,,"1. Stir pineapple, orange, apple, red grapes, and green grapes together in a bowl. Pour yogurt over the top and stir to coat completely.","¼ fresh pineapple, cut into bite-size chunks, 1 orange, peeled and cut into bite-size pieces, ½ red apple, cut into bite-size pieces, 5 seedless red grapes, halved, 5 seedless green grapes, halved, 2 cups strawberry yogurt",Kid-Friendly Fruit Salad,15 mins,4.5,15 mins,https://www.allrecipes.com/recipe/242096/kid-friendly-fruit-salad/,"['pineapple', 'orange', 'apple', 'grape', 'grape', 'strawberry', 'yogurt']",veg,"['pineapple', 'orange', 'apple', 'grape', 'grape', 'strawberry', 'yogurt']"
